id,meaning_id,lemma_id,lemma,lang,pos,meaning_ru,meaning_en,concept_id,category_id
18360,42389,36679,raiš,krl,NOUN,град,hail,31,A12
18361,82899,70715,raiživo,krl,NOUN,колея,,1195,B38
18362,58821,51832,raja,krl,NOUN,край,,1385,C2
18363,82719,51832,raja,krl,NOUN,граница,border,,
18364,71858,61189,rajakarielane,krl,NOUN,"карел, житель Приграничной Карелии,  эвакуированный в 1944 году в Финляндию",,,
18365,52010,45743,rajakko,krl,NOUN,подсека заросшая,,773,B321
18366,29258,25440,rajona,krl,NOUN,район,,,
18367,75339,64308,rajottua,krl,VERB,"делить, обозначать границу, межевать",,,
18368,88235,75437,raju,krl,ADJ,очень сильный,,,
18369,75340,64309,rakaija,krl,VERB,"бросать, швырять",,,
18370,83648,71298,rakaš,krl,ADJ,"охочий, любящий что-л., кого-л.; нежный",,,
18371,51384,45152,rakaštua,krl,VERB,любить,to love; to like,727,B22
18372,75341,64310,rakaštuo,krl,VERB,влюбиться,,,
18373,55389,48732,rakendaa,krl,VERB,строить (отделывать) дом,,1086,B372
18374,55391,48734,rakendoa,krl,VERB,строить (отделывать) дом,,1086,B372
18375,55387,48730,rakendua,krl,VERB,строить (отделывать) дом,,1086,B372
18376,55393,48736,rakenduu,krl,VERB,строить (отделывать) дом,,1086,B372
18377,75342,64311,rakennella,krl,VERB,"насаживать сеть, невод",,,
18378,87046,74355,rakennuš,krl,NOUN,здание,,,
18379,55386,48729,rakentua,krl,VERB,"строить; делать внутренние работы по дому (двери, окна, полы, потолки и т.д.)",,1086,B372
18380,75343,48729,rakentua,krl,VERB,"насаживать (сеть, невод и др. рыболовные снасти)",,,
18381,75344,48729,rakentua,krl,VERB,"украшать, наряжать",,,
18382,75350,64313,rakentuo,krl,VERB,наряжаться,,,
18383,88305,75499,rakkahuš,krl,NOUN,любовь,love,,
18384,83655,71305,rakko,krl,NOUN,мозоль,,,
18385,55510,48853,rako,krl,NOUN,щель,"gap, crack, opening",1097,B372
18386,56091,49370,rakotuli,krl,NOUN,нодья (особый вид костра),,1154,B374
18387,29259,25441,rakovina,krl,NOUN,раковина для умывания,,,
18388,29260,25442,ramba,krl,ADJ,"хромой, хромоногий",,544,B16
18389,29261,25443,rammata,krl,VERB,хромать,to limp,,
18390,49103,43036,rammba,krl,ADJ,хромой,,544,B16
18391,75351,64314,rammita,krl,VERB,хромать,to limp,,
18392,49101,43034,rampa,krl,ADJ,хромой,,544,B16
18393,58810,51821,rand,krl,NOUN,сторона,side,1384,C2
18394,58991,51821,rand,krl,NOUN,край,,1385,C2
18395,29262,25444,randa,krl,NOUN,берег,"bank, waterside, coast",46,A21
18396,29263,25444,randa,krl,NOUN,"край, кромка",,1385,C2
18397,29264,25444,randa,krl,NOUN,"край, сторона; местность, район",,1384,C2
18398,56582,25444,randa,krl,NOUN,борт лодки,,1197,B38
18399,82336,25444,randa,krl,NOUN,пространство озера (вдали от берегов),Lake area (away from the coast),55,A21
18400,84117,71742,randane,krl,NOUN,сторонка,side; edge,,
18401,55492,48835,rangine,krl,NOUN,"полог,  занавеска над кроватью",,1094,B372
18402,55494,48837,rangin’,krl,NOUN,полог,bed curtain,1094,B372
18403,85954,73371,rannaš,krl,NOUN,"сторона, край","side, edge",,
18404,57744,50828,ranni,krl,NOUN,сосед,neighbor,1289,B51
18405,84198,71814,rannokšet,krl,NOUN,"стороны, края (на местности)",,,
18406,42554,36835,ranta,krl,NOUN,берег,"bank, waterside, coast",46,A21
18407,58990,36835,ranta,krl,NOUN,край,,1385,C2
18408,75352,64315,rantautuo,krl,VERB,"причалить, пристать к берегу",,,
18409,86687,74037,rapa,krl,NOUN,"грязная лужа, сырая грязь, слякоть",,,
18410,42372,36663,rapakko,krl,NOUN,лужа,puddle,30,A12
18411,75353,64316,rapautuo,krl,VERB,"хватиться, спохватиться",,,
18412,75354,64316,rapautuo,krl,VERB,"очнуться, вспомнить",,,
18413,75355,64317,rapieštua,krl,VERB,"убирать, прибирать",,,
18414,55713,49030,rappuset,krl,NOUN,лестница,,1117,B372
18415,55714,49031,raput,krl,NOUN,лестница,,1117,B372
18416,75356,64318,rapšahtua,krl,VERB,"хрустнуть, сломаться",,,
18417,75357,64319,rapšahuttua,krl,VERB,"ударить, стукнуть, щёлкнуть",,,
18418,75358,64320,rapšata,krl,VERB,"ударить, хлопнуть",,,
18419,78463,67036,raskativaija,krl,VERB,раскатывать,,,
18420,89352,76458,rasp’attie,krl,VERB,распять,,,
18421,50211,44033,rassali,krl,NOUN,рассол,,636,B181
18422,47390,41465,rastua,krl,VERB,"отбирать, отнимать",,434,B15
18423,82870,70687,ratas,krl,NOUN,колесо,,1005,B355
18424,47994,42008,ratata,krl,VERB,рвать,,476,B15
18425,29267,25447,rataš,krl,NOUN,"черный дятел, желна",,,
18426,44493,25447,rataš,krl,NOUN,дрозд,thrush (bird),207,A42
18427,86078,73478,rativo,krl,NOUN,радио,radio,,
18428,52781,46460,rauat,krl,NOUN,удила,bar bit; bit,840,B331
18429,42845,37108,raud,krl,NOUN,железо,iron,76,A22
18430,54614,37108,raud,krl,NOUN,сталь,,1007,B355
18431,29268,25448,rauda,krl,NOUN,железо,iron,76,A22
18432,54613,25448,rauda,krl,NOUN,сталь,,1007,B355
18433,56075,25448,rauda,krl,NOUN,"кресало, огниво",,1150,B374
18434,29270,25450,raudahine,krl,ADJ,железный,iron,,
18435,29269,25449,raudane,krl,ADJ,железный,iron,,
18436,82237,70182,raudat,krl,NOUN,удила,bar bit; bit,840,B331
18437,57682,50766,rauha,krl,NOUN,мир,"peace, world",1283,B51
18438,45480,39656,rauhalline,krl,ADJ,"тихий, спокойный (о человеке)",,289,B11
18439,45478,39654,rauhallini,krl,ADJ,"тихий, спокойный (о человеке)",,289,B11
