id,meaning_id,lemma_id,lemma,lang,pos,meaning_ru,meaning_en,concept_id,category_id
155,90250,77326,Mikki,lud,PROPN,Микки,,,
156,89856,76947,Mikkil,lud,PROPN,деревня Миккелица,,,
157,78182,66782,Mikko,lud,PROPN,Миша,,,
158,90194,77272,Mikku,lud,PROPN,Микку,,,
159,77160,65848,Mitrij,lud,PROPN,Дмитрий,,,
160,77856,66492,Mitrijanpäiv,lud,PROPN,Дмитриев день,,,
161,90970,78056,Mit’t’u,lud,PROPN,Митя,,,
162,91015,78107,Mit’uoi,lud,PROPN,"Митя, Дмитрий",,,
163,90060,77138,Miša,lud,PROPN,"Миша, Михаил",,,
164,78108,66722,Mišinselg,lud,PROPN,Мишинсельга,,,
165,78543,67109,Muale,lud,PROPN,Муале (часть Пелдожи),,,
166,77842,66478,Mundärv,lud,PROPN,Мунозеро,,,
167,91717,78789,Mužal,lud,PROPN,деревня Мужала,,,
168,90917,77998,Märä,lud,PROPN,Мяря (фамилия),,,
169,90371,77444,Nastuoi,lud,PROPN,"Настя, Анастасия",,,
170,74656,63711,Natoi,lud,PROPN,"Наталья, Наташа",,,
171,90373,77446,Nattu,lud,PROPN,"Натту, Наташа",,,
172,90180,77258,Natuoi,lud,PROPN,"Натуой, Наташа, Наталья",,,
173,77033,65740,Natuu,lud,PROPN,Наталья,,,
174,89751,76844,Niglinkke,lud,PROPN,река Неглинка,,,
175,89774,76867,Niimägi,lud,PROPN,деревня Нинисельга,,,
176,74325,63401,Nirkke,lud,PROPN,Нирка (деревня),,,
177,15860,14297,Norja,lud,PROPN,Норвегия,,,
178,77817,66453,Novikuo,lud,PROPN,Новиково,,,
179,77843,66480,Nuamoil,lud,PROPN,Намоево,,,
180,89786,76878,Nuoidan-suari,lud,PROPN,Нойданостров,,,
181,78169,66769,Nuožarvi,lud,PROPN,Крошнозеро,,,
182,89817,76909,N’akuoin’külä,lud,PROPN,деревня Някуойн,,,
183,77310,65986,N’olgamdärvi,lud,PROPN,Нелгомозеро,,,
184,90290,77366,Oguoi,lud,PROPN,"Огуой, Агафья",,,
185,90576,77664,Okulin,lud,PROPN,Акулина,,,
186,90550,77638,Ol’eša,lud,PROPN,"Олёша, Алексей",,,
187,78365,66949,Ol’oi,lud,PROPN,Ольга,,,
188,90520,77609,Ondrii,lud,PROPN,"Ондрий, Андрей",,,
189,90142,77220,Ontuoi,lud,PROPN,Онтуой,,,
190,90911,77992,Onuoi,lud,PROPN,"Онуой, Андрей",,,
191,90966,78052,Opičaine,lud,PROPN,Опичайне (кличка),,,
192,90288,77364,Ort’uoi,lud,PROPN,"Ортюой, Артём",,,
193,90443,77528,Osippe,lud,PROPN,Осип,,,
194,90544,77632,Outi,lud,PROPN,"Оути, Евдокия",,,
195,90848,77932,Oša,lud,PROPN,Оша,,,
196,77034,65741,Palag,lud,PROPN,Пелагея,,,
197,89820,76912,Palalaht,lud,PROPN,деревня Палалахта,,,
198,77156,65844,Palanim,lud,PROPN,Палнаволок,,,
199,86486,73856,Palatezdärvi,lud,PROPN,Палатозеро,,,
200,77833,66469,Paloniem,lud,PROPN,Палнаволок,,,
201,85000,72510,Pariž,lud,PROPN,Париж,,,
202,78115,66727,Pauši,lud,PROPN,Павел,,,
203,91012,78104,Paušuoi,lud,PROPN,Павел,,,
204,90107,77186,Paušši,lud,PROPN,"Пауши, Павел",,,
205,90204,77282,Paša,lud,PROPN,"Паша, Прасковья (женское имя)",,,
206,90963,78049,Pedri,lud,PROPN,"Педри, Пётр",,,
207,77834,66470,Pedrunpäiv,lud,PROPN,Петров день,,,
208,90205,77283,Pekka,lud,PROPN,"Пекка, Пётр",,,
209,78010,66635,Peldožan därv,lud,PROPN,Пелдожское озеро,,,
210,78541,67107,Pelduoine,lud,PROPN,Пелдожа,,,
211,89874,76965,Petroskuoi,lud,PROPN,Петрозаводск,,,
212,90167,77245,Petrouna,lud,PROPN,Петровна,,,
213,78077,66691,Petrouskoi,lud,PROPN,Петрозаводск,,,
214,90272,77348,Petrouskuoi,lud,PROPN,Петрозаводск,,,
215,77303,65979,Petrovskoi,lud,PROPN,Петрозаводск,,,
216,78114,66726,Peša,lud,PROPN,Пётр,,,
217,78380,66962,Piiter’,lud,PROPN,Санкт-Петербург,,,
218,89812,76904,Pirduoiniemi,lud,PROPN,деревня Спиридон-наволок,,,
219,89722,76815,Pogoste,lud,PROPN,Погост,,,
220,77854,66490,Pokrou,lud,PROPN,"Покров день, Покров Пресвятой Богородицы",,,
221,89527,76629,Povenčče,lud,PROPN,посёлок Повенец,,,
222,89525,76627,Pošte,lud,PROPN,деревня Половина,,,
223,74579,63636,Priäže,lud,PROPN,Пряжа,,,
224,90306,77381,Prokku,lud,PROPN,Прокку,,,
225,89724,76817,Präkke,lud,PROPN,Прякка,,,
226,90951,78037,Puavil,lud,PROPN,Павел,,,
227,77299,65975,Pudož,lud,PROPN,Пудож,,,
228,34408,29592,Pyhädärvi,lud,PROPN,Святозеро,,,
229,77799,66437,Pyhäniem,lud,PROPN,Святнаволок,,,
230,74611,63667,Pyhärvi,lud,PROPN,Святозеро (село),,,
231,77849,66485,Pälärv,lud,PROPN,Пялозеро,,,
232,89762,76855,Päl’ärvi,lud,PROPN,Пялозеро,,,
233,89782,76875,Pühä-d’ogi,lud,PROPN,Свят-река,,,
234,77147,65835,Raja,lud,PROPN,Рая,,,
235,74700,63753,Riga,lud,PROPN,Рига,,,
236,89729,76822,Riiselgä,lud,PROPN,д. Ригсельга ,,,
237,90769,77857,Rodi,lud,PROPN,"Роди, Родион",,,
238,90062,77140,Rugan,lud,PROPN,Руган (фамилия),,,
239,15856,14293,Ruočči,lud,PROPN,Швеция,,,
240,15861,14298,Saksa,lud,PROPN,Германия,,,
241,89855,76946,Salmeniške,lud,PROPN,деревня Салменица,,,
242,89851,76942,San’ke,lud,PROPN,Санька (Саша),,,
243,90165,77243,Sekko,lud,PROPN,Секко,,,
244,90170,77248,Sekuoi,lud,PROPN,Секкоев,,,
245,90311,77386,Semuoi,lud,PROPN,"Семуой, Семён",,,
246,77831,66467,Siidniemi,lud,PROPN,Сигнаволок,,,
247,74327,63403,Simaništo,lud,PROPN,Симаништо (деревня),,,
248,89766,76859,Siämärvi,lud,PROPN,Сямозеро,,,
249,89588,76689,Solomani,lud,PROPN,Соломенное,,,
250,77847,66483,Spuasanpäiv,lud,PROPN," Преображение Господне, Спасов день",,,
251,77807,66445,Srietind,lud,PROPN,Сретенье,,,
252,77824,66460,Stroič,lud,PROPN,Троица,,,
253,90964,78050,St’eppu,lud,PROPN,Степан,,,
254,90248,77324,St’opan,lud,PROPN,Степан,,,
255,90239,77315,St’opin,lud,PROPN,Стёпин (фамилия жителя),,,
256,77825,66461,Suar’,lud,PROPN,Лычный остров,,,
257,89843,76934,Suavan-külä,lud,PROPN,Пахомова Пряжа (часть Пряжи),,,
258,89517,76619,Suoluz,lud,PROPN,Сулажгора,,,
259,89518,76620,Suoluzmägi,lud,PROPN,Сулажгора,,,
260,89754,76847,Suolužmägi,lud,PROPN,Сулажгора,,,
261,15857,14294,Suomi,lud,PROPN,Финляндия ,,,
262,89526,76628,Suunu,lud,PROPN,река Суна,,,
263,77841,66477,Suunusuu,lud,PROPN,Уссуна,,,
264,77853,66489,Sviižoi,lud,PROPN,Воздвижение,,,
265,91003,78091,Sviižuoi,lud,PROPN,Воздвижение (церковный праздник),,,
266,91718,78790,Svir’,lud,PROPN,река Свирь,,,
267,77166,65854,Svižendu,lud,PROPN,Воздвижание,,,
268,77164,65852,Svižend’u,lud,PROPN,Воздвижение,,,
269,77165,65853,Sviženju,lud,PROPN,Воздвижение,,,
270,77859,66495,Sygyz’-Dyrgi,lud,PROPN,"Егорий зимний, Юрьев день",,,
271,77861,66497,Sygyz’-Miikul,lud,PROPN,"Никола зимний, Николин день",,,
272,77150,65838,Syrd,lud,PROPN,Михайловская,,,
273,77811,65838,Syrd,lud,PROPN,Сюрьга ,,,
274,91222,78311,Syvätteri,lud,PROPN,"Сюотар — карельская ведьма, героиня карельских сказок",,,
275,89726,76819,Sürd’e,lud,PROPN,Сюрьде,,,
276,77138,65826,S’ola,lud,PROPN,Кирга,,,
