category_id	pos	concept_id	concept_ru	concept_en	wdh	wdh_source	wdh_confidence	wdh_note
A43	NOUN	239	плавник	fin	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	240	жабры	gill	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	241	икра (рыбья)	roe, spawn (of fish)	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	VERB	242	метать икру	to spawn	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	243	молоки	milt	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	244	молодь рыбы	fry, juvenile fish, fingerlings, juvenile fish	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	245	лосось	salmon	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	246	сёмга	Atlantic salmon	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	247	сиг	whitefish, cisco	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	248	щука	pike	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	249	окунь	perch	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	250	налим	burbot	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	251	язь	ide	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	252	лещ	bream	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	253	плотва	roach	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	254	ёрш	ruffe	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	255	ряпушка	Coregonus albula, vendace, European cisco	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	256	корюшка	smelt	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	257	судак	zander	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	258	хариус	grayling	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A43	NOUN	259	угорь	eel	animals, biology	inherited_from_category	medium	WDH inherited from category A43
A44	NOUN	260	муравей	ant	animals, biology, entomology	inherited_from_category	medium	WDH inherited from category A44
A44	NOUN	261	бабочка	butterfly	animals, biology, entomology	inherited_from_category	medium	WDH inherited from category A44
A44	NOUN	262	жук	beetle	animals, biology, entomology	inherited_from_category	medium	WDH inherited from category A44
A44	NOUN	263	клещ	tick	animals, biology, entomology	inherited_from_category	medium	WDH inherited from category A44
A44	NOUN	264	личинка (под корой дерева)	larva	animals, biology, entomology	inherited_from_category	medium	WDH inherited from category A44
A44	NOUN	265	клоп	bedbug	animals, biology, entomology	inherited_from_category	medium	WDH inherited from category A44
A44	NOUN	266	таракан	cockroach	animals, biology, entomology	inherited_from_category	medium	WDH inherited from category A44
A44	NOUN	267	паук	spider	animals, biology, entomology	inherited_from_category	medium	WDH inherited from category A44
A44	NOUN	268	гнида	nit	animals, biology, entomology	inherited_from_category	medium	WDH inherited from category A44
A44	NOUN	269	блоха	flea	animals, biology, entomology	inherited_from_category	medium	WDH inherited from category A44
A44	NOUN	270	ящерица	lizard	animals, biology, entomology	inherited_from_category	medium	WDH inherited from category A44
A44	NOUN	271	змея	snake	animals, biology, entomology	inherited_from_category	medium	WDH inherited from category A44
