category_id	pos	concept_id	concept_ru	concept_en	definition_ru	definition_en
B12	NOUN	365	грудь	chest	верхняя передняя часть туловища человека или другого позвоночного животного	the portion of the front of the human body from the base of the neck to the top of the abdomen
B12	NOUN	366	грудь (женская)	breast	одна из парных молочных желёз человека (правая или левая грудь)	either of the two organs on the front of a female human's chest, which contain the mammary glands; also the analogous organs in males
B12	NOUN	367	бок	side	правая или левая часть туловища от плеча до бедра	one half (left or right, top or bottom, front or back, etc.) of something or someone
B12	NOUN	368	рука			
B12	NOUN	369	ладонь			
B12	NOUN	370	локоть			
B12	NOUN	371	кулак			
B12	NOUN	372	кукиш			
B12	NOUN	373	палец руки			
B12	NOUN	374	палец ноги			
B12	NOUN	375	ноготь			
B12	NOUN	376	запястье			
B12	NOUN	377	нога			
B12	NOUN	378	пятка			
B12	NOUN	379	колено			
B12	NOUN	380	икра ноги			
B12	NOUN	381	подъем ноги			
B12	NOUN	382	голень	shin	часть ноги от колена до стопы	the front part of the leg below the knee
B12	NOUN	383	бедро	hip	часть нижней или задней конечности человека или животного между тазобедренным и коленным суставами	the outward-projecting parts of the pelvis and top of the femur and the overlying tissue.
B12	NOUN	384	спина			
B12	NOUN	385	поясница			
B12	NOUN	386	зад (у человека)			
B12	ADJ	387	голый, нагой	nude	не имеющий на себе одежды, покрова	without clothing or other covering of the skin; without clothing on the genitals or female nipples
B12	NOUN	388	сустав			
B12	NOUN	389	скелет			
B12	NOUN	390	позвоночник			
B12	NOUN	391	таз (у человека)			
B12	NOUN	392	лёгкие			
B12	NOUN	393	горло	throat	передняя часть шеи	the front part of the neck
B12	VERB	394	дышать	to breathe	прогонять воздух через лёгкие, жабры или другие органы дыхания, поглощая кислород и выделяя углекислый газ	to draw air into (inhale), and expel air from (exhale), the lungs in order to extract oxygen and excrete waste gases
B12	NOUN	395	живот	belly	нижняя передняя часть туловища человека, также нижняя часть туловища некоторых животных	the front part of the human trunk below the ribs, containing the stomach and bowels.
B12	NOUN	396	пуп			
B12	NOUN	397	кишки			
B12	VERB	398	рвать, тошнить	to vomit		
B12	NOUN	399	сердце	heart		
B12	NOUN	400	кровь			
B12	NOUN	401	жила (кровеносный сосуд)	vein	кровеносный сосуд человека или млекопитающего	A blood vessel that transports blood from the capillaries back to the heart.
B12	NOUN	402	печень			
B12	NOUN	403	почки			
B12	VERB	404	мочиться			
B12	NOUN	405	глаз	eye	орган зрения человека или животного	an organ through which animals see
B12	NOUN	406	слеза			
